date,book,ticker,qty
2023-01-26,DELTA,SHEL.L,6300
2023-01-26,DELTA,XOM,900
2023-01-26,MACRO,NVDA,-1000
2023-01-26,MACRO,PG,3800
2023-01-26,MACRO,SAP.DE,5000
2023-01-26,MACRO,XOM,2400
2023-01-27,ALPHA,AAPL,4000
2023-01-27,ALPHA,KO,-5100
2023-01-27,ALPHA,MSFT,-1300
2023-01-27,ALPHA,NVDA,6800
2023-01-27,ALPHA,SAP.DE,7800
2023-01-27,DELTA,AAPL,-7400
2023-01-27,DELTA,GS,1700
2023-01-27,DELTA,JPM,-900
2023-01-27,DELTA,SHEL.L,6300
2023-01-27,DELTA,XOM,900
2023-01-27,MACRO,NVDA,-1000
2023-01-27,MACRO,PG,3800
2023-01-27,MACRO,SAP.DE,5000
2023-01-27,MACRO,XOM,2400
2023-01-30,ALPHA,AAPL,4000
2023-01-30,ALPHA,KO,-5100
2023-01-30,ALPHA,MSFT,-1300
2023-01-30,ALPHA,NVDA,6800
2023-01-30,ALPHA,SAP.DE,7800
2023-01-30,DELTA,AAPL,-7400
2023-01-30,DELTA,GS,1700
2023-01-30,DELTA,JPM,-900
2023-01-30,DELTA,SHEL.L,6300
2023-01-30,DELTA,XOM,900
2023-01-30,MACRO,NVDA,-1000
2023-01-30,MACRO,PG,3800
2023-01-30,MACRO,SAP.DE,5000
2023-01-30,MACRO,XOM,2400
2023-01-31,ALPHA,AAPL,4000
2023-01-31,ALPHA,KO,-5100
2023-01-31,ALPHA,MSFT,-1300
2023-01-31,ALPHA,NVDA,6800
2023-01-31,ALPHA,SAP.DE,7800
2023-01-31,DELTA,AAPL,-7400
2023-01-31,DELTA,GS,1700
2023-01-31,DELTA,JPM,-900
2023-01-31,DELTA,SHEL.L,6300
2023-01-31,DELTA,XOM,900
2023-01-31,MACRO,NVDA,-1000
2023-01-31,MACRO,PG,3800
2023-01-31,MACRO,SAP.DE,5000
2023-01-31,MACRO,XOM,2400
2023-02-01,ALPHA,AAPL,700
2023-02-01,ALPHA,KO,-6600
2023-02-01,ALPHA,MSFT,-2600
2023-02-01,ALPHA,NVDA,5800
2023-02-01,ALPHA,SAP.DE,7900
2023-02-01,DELTA,AAPL,-6100
2023-02-01,DELTA,GS,-400
2023-02-01,DELTA,JPM,1400
2023-02-01,DELTA,SHEL.L,8000
2023-02-01,DELTA,XOM,-2200
2023-02-01,MACRO,NVDA,400
2023-02-01,MACRO,PG,2400
2023-02-01,MACRO,SAP.DE,7000
2023-02-01,MACRO,XOM,4100
2023-02-02,ALPHA,AAPL,700
2023-02-02,ALPHA,KO,-6600
2023-02-02,ALPHA,MSFT,-2600
2023-02-02,ALPHA,NVDA,5800
2023-02-02,ALPHA,SAP.DE,7900
2023-02-02,DELTA,AAPL,-6100
2023-02-02,DELTA,GS,-400
2023-02-02,DELTA,JPM,1400
2023-02-02,DELTA,SHEL.L,8000
2023-02-02,DELTA,XOM,-2200
2023-02-02,MACRO,NVDA,400
2023-02-02,MACRO,PG,2400
2023-02-02,MACRO,SAP.DE,7000
2023-02-02,MACRO,XOM,4100
2023-02-03,ALPHA,AAPL,700
2023-02-03,ALPHA,KO,-6600
2023-02-03,ALPHA,MSFT,-2600
2023-02-03,ALPHA,NVDA,5800
2023-02-03,ALPHA,SAP.DE,7900
2023-02-03,DELTA,AAPL,-6100
2023-02-03,DELTA,GS,-400
2023-02-03,DELTA,JPM,1400
2023-02-03,DELTA,SHEL.L,8000
2023-02-03,DELTA,XOM,-2200
2023-02-03,MACRO,NVDA,400
2023-02-03,MACRO,PG,2400
2023-02-03,MACRO,SAP.DE,7000
2023-02-03,MACRO,XOM,4100
2023-02-06,ALPHA,AAPL,700
2023-02-06,ALPHA,KO,-6600
2023-02-06,ALPHA,MSFT,-2600
2023-02-06,ALPHA,NVDA,5800
2023-02-06,ALPHA,SAP.DE,7900
2023-02-06,DELTA,AAPL,-6100
2023-02-06,DELTA,GS,-400
2023-02-06,DELTA,JPM,1400
2023-02-06,DELTA,SHEL.L,8000
2023-02-06,DELTA,XOM,-2200
2023-02-06,MACRO,NVDA,400
2023-02-06,MACRO,PG,2400
2023-02-06,MACRO,SAP.DE,7000
2023-02-06,MACRO,XOM,4100
2023-02-07,ALPHA,AAPL,700
2023-02-07,ALPHA,KO,-6600
2023-02-07,ALPHA,MSFT,-2600
2023-02-07,ALPHA,NVDA,5800
2023-02-07,ALPHA,SAP.DE,7900
2023-02-07,DELTA,AAPL,-6100
2023-02-07,DELTA,GS,-400
2023-02-07,DELTA,JPM,1400
2023-02-07,DELTA,SHEL.L,8000
2023-02-07,DELTA,XOM,-2200
2023-02-07,MACRO,NVDA,400
2023-02-07,MACRO,PG,2400
2023-02-07,MACRO,SAP.DE,7000
2023-02-07,MACRO,XOM,4100
2023-02-08,ALPHA,AAPL,700
2023-02-08,ALPHA,KO,-6600
2023-02-08,ALPHA,MSFT,-2600
2023-02-08,ALPHA,NVDA,5800
2023-02-08,ALPHA,SAP.DE,7900
2023-02-08,DELTA,AAPL,-6100
2023-02-08,DELTA,GS,-400
2023-02-08,DELTA,JPM,1400
2023-02-08,DELTA,SHEL.L,8000
2023-02-08,DELTA,XOM,-2200
2023-02-08,MACRO,NVDA,400
2023-02-08,MACRO,PG,2400
2023-02-08,MACRO,SAP.DE,7000
2023-02-08,MACRO,XOM,4100
2023-02-09,ALPHA,AAPL,700
2023-02-09,ALPHA,KO,-6600
2023-02-09,ALPHA,MSFT,-2600
2023-02-09,ALPHA,NVDA,5800
2023-02-09,ALPHA,SAP.DE,7900
2023-02-09,DELTA,AAPL,-6100
2023-02-09,DELTA,GS,-400
2023-02-09,DELTA,JPM,1400
2023-02-09,DELTA,SHEL.L,8000
2023-02-09,DELTA,XOM,-2200
2023-02-09,MACRO,NVDA,400
2023-02-09,MACRO,PG,2400
2023-02-09,MACRO,SAP.DE,7000
2023-02-09,MACRO,XOM,4100
2023-02-10,ALPHA,AAPL,700
2023-02-10,ALPHA,KO,-6600
2023-02-10,ALPHA,MSFT,-2600
2023-02-10,ALPHA,NVDA,5800
2023-02-10,ALPHA,SAP.DE,7900
2023-02-10,DELTA,AAPL,-6100
2023-02-10,DELTA,GS,-400
2023-02-10,DELTA,JPM,1400
2023-02-10,DELTA,SHEL.L,8000
2023-02-10,DELTA,XOM,-2200
2023-02-10,MACRO,NVDA,400
2023-02-10,MACRO,PG,2400
2023-02-10,MACRO,SAP.DE,7000
2023-02-10,MACRO,XOM,4100
2023-02-13,ALPHA,AAPL,700
2023-02-13,ALPHA,KO,-6600
2023-02-13,ALPHA,MSFT,-2600
2023-02-13,ALPHA,NVDA,5800
2023-02-13,ALPHA,SAP.DE,7900
2023-02-13,DELTA,AAPL,-6100
2023-02-13,DELTA,GS,-400
2023-02-13,DELTA,JPM,1400
2023-02-13,DELTA,SHEL.L,8000
2023-02-13,DELTA,XOM,-2200
2023-02-13,MACRO,NVDA,400
2023-02-13,MACRO,PG,2400
2023-02-13,MACRO,SAP.DE,7000
2023-02-13,MACRO,XOM,4100
2023-02-14,ALPHA,AAPL,700
2023-02-14,ALPHA,KO,-6600
2023-02-14,ALPHA,MSFT,-2600
2023-02-14,ALPHA,NVDA,5800
2023-02-14,ALPHA,SAP.DE,7900
2023-02-14,DELTA,AAPL,-6100
2023-02-14,DELTA,GS,-400
2023-02-14,DELTA,JPM,1400
2023-02-14,DELTA,SHEL.L,8000
2023-02-14,DELTA,XOM,-2200
2023-02-14,MACRO,NVDA,400
2023-02-14,MACRO,PG,2400
2023-02-14,MACRO,SAP.DE,7000
2023-02-14,MACRO,XOM,4100
2023-02-15,ALPHA,AAPL,700
2023-02-15,ALPHA,KO,-6600
2023-02-15,ALPHA,MSFT,-2600
2023-02-15,ALPHA,NVDA,5800
2023-02-15,ALPHA,SAP.DE,7900
2023-02-15,DELTA,AAPL,-6100
2023-02-15,DELTA,GS,-400
2023-02-15,DELTA,JPM,1400
2023-02-15,DELTA,SHEL.L,8000
2023-02-15,DELTA,XOM,-2200
2023-02-15,MACRO,NVDA,400
2023-02-15,MACRO,PG,2400
2023-02-15,MACRO,SAP.DE,7000
2023-02-15,MACRO,XOM,4100
2023-02-16,ALPHA,AAPL,700
2023-02-16,ALPHA,KO,-6600
2023-02-16,ALPHA,MSFT,-2600
2023-02-16,ALPHA,NVDA,5800
2023-02-16,ALPHA,SAP.DE,7900
2023-02-16,DELTA,AAPL,-6100
2023-02-16,DELTA,GS,-400
2023-02-16,DELTA,JPM,1400
2023-02-16,DELTA,SHEL.L,8000
2023-02-16,DELTA,XOM,-2200
2023-02-16,MACRO,NVDA,400
2023-02-16,MACRO,PG,2400
2023-02-16,MACRO,SAP.DE,7000
2023-02-16,MACRO,XOM,4100
2023-02-17,ALPHA,AAPL,700
2023-02-17,ALPHA,KO,-6600
2023-02-17,ALPHA,MSFT,-2600
2023-02-17,ALPHA,NVDA,5800
2023-02-17,ALPHA,SAP.DE,7900
2023-02-17,DELTA,AAPL,-6100
2023-02-17,DELTA,GS,-400
2023-02-17,DELTA,JPM,1400
2023-02-17,DELTA,SHEL.L,8000
2023-02-17,DELTA,XOM,-2200
2023-02-17,MACRO,NVDA,400
2023-02-17,MACRO,PG,2400
2023-02-17,MACRO,SAP.DE,7000
2023-02-17,MACRO,XOM,4100
2023-02-21,ALPHA,AAPL,700
2023-02-21,ALPHA,KO,-6600
2023-02-21,ALPHA,MSFT,-2600
2023-02-21,ALPHA,NVDA,5800
2023-02-21,ALPHA,SAP.DE,7900
2023-02-21,DELTA,AAPL,-6100
2023-02-21,DELTA,GS,-400
2023-02-21,DELTA,JPM,1400
2023-02-21,DELTA,SHEL.L,8000
2023-02-21,DELTA,XOM,-2200
2023-02-21,MACRO,NVDA,400
2023-02-21,MACRO,PG,2400
2023-02-21,MACRO,SAP.DE,7000
2023-02-21,MACRO,XOM,4100
2023-02-22,ALPHA,AAPL,700
2023-02-22,ALPHA,KO,-6600
2023-02-22,ALPHA,MSFT,-2600
2023-02-22,ALPHA,NVDA,5800
2023-02-22,ALPHA,SAP.DE,7900
2023-02-22,DELTA,AAPL,-6100
2023-02-22,DELTA,GS,-400
2023-02-22,DELTA,JPM,1400
2023-02-22,DELTA,SHEL.L,8000
2023-02-22,DELTA,XOM,-2200
2023-02-22,MACRO,NVDA,400
2023-02-22,MACRO,PG,2400
2023-02-22,MACRO,SAP.DE,7000
2023-02-22,MACRO,XOM,4100
2023-02-23,ALPHA,AAPL,700
2023-02-23,ALPHA,KO,-6600
2023-02-23,ALPHA,MSFT,-2600
2023-02-23,ALPHA,NVDA,5800
2023-02-23,ALPHA,SAP.DE,7900
2023-02-23,DELTA,AAPL,-6100
2023-02-23,DELTA,GS,-400
2023-02-23,DELTA,JPM,1400
2023-02-23,DELTA,SHEL.L,8000
2023-02-23,DELTA,XOM,-2200
2023-02-23,MACRO,NVDA,400
2023-02-23,MACRO,PG,2400
2023-02-23,MACRO,SAP.DE,7000
2023-02-23,MACRO,XOM,4100
2023-02-24,ALPHA,AAPL,700
2023-02-24,ALPHA,KO,-6600
2023-02-24,ALPHA,MSFT,-2600
2023-02-24,ALPHA,NVDA,5800
2023-02-24,ALPHA,SAP.DE,7900
2023-02-24,DELTA,AAPL,-6100
2023-02-24,DELTA,GS,-400
2023-02-24,DELTA,JPM,1400
2023-02-24,DELTA,SHEL.L,8000
2023-02-24,DELTA,XOM,-2200
2023-02-24,MACRO,NVDA,400
2023-02-24,MACRO,PG,2400
2023-02-24,MACRO,SAP.DE,7000
2023-02-24,MACRO,XOM,4100
2023-02-27,ALPHA,AAPL,700
2023-02-27,ALPHA,KO,-6600
2023-02-27,ALPHA,MSFT,-2600
2023-02-27,ALPHA,NVDA,5800
2023-02-27,ALPHA,SAP.DE,7900
2023-02-27,DELTA,AAPL,-6100
2023-02-27,DELTA,GS,-400
2023-02-27,DELTA,JPM,1400
2023-02-27,DELTA,SHEL.L,8000
2023-02-27,DELTA,XOM,-2200
2023-02-27,MACRO,NVDA,400
2023-02-27,MACRO,PG,2400
2023-02-27,MACRO,SAP.DE,7000
2023-02-27,MACRO,XOM,4100
2023-02-28,ALPHA,AAPL,700
2023-02-28,ALPHA,KO,-6600
2023-02-28,ALPHA,MSFT,-2600
2023-02-28,ALPHA,NVDA,5800
2023-02-28,ALPHA,SAP.DE,7900
2023-02-28,DELTA,AAPL,-6100
2023-02-28,DELTA,GS,-400
2023-02-28,DELTA,JPM,1400
2023-02-28,DELTA,SHEL.L,8000
2023-02-28,DELTA,XOM,-2200
2023-02-28,MACRO,NVDA,400
2023-02-28,MACRO,PG,2400
2023-02-28,MACRO,SAP.DE,7000
2023-02-28,MACRO,XOM,4100
2023-03-01,ALPHA,AAPL,-3700
2023-03-01,ALPHA,KO,-4900
2023-03-01,ALPHA,MSFT,-1400
2023-03-01,ALPHA,NVDA,6300
2023-03-01,ALPHA,SAP.DE,4700
2023-03-01,DELTA,AAPL,-5600
2023-03-01,DELTA,GS,-1200
2023-03-01,DELTA,JPM,400
2023-03-01,DELTA,SHEL.L,8500
2023-03-01,DELTA,XOM,-300
2023-03-01,MACRO,NVDA,700
2023-03-01,MACRO,PG,4000
2023-03-01,MACRO,SAP.DE,6800
2023-03-01,MACRO,XOM,3400
2023-03-02,ALPHA,AAPL,-3700
2023-03-02,ALPHA,KO,-4900
2023-03-02,ALPHA,MSFT,-1400
2023-03-02,ALPHA,NVDA,6300
2023-03-02,ALPHA,SAP.DE,4700
2023-03-02,DELTA,AAPL,-5600
2023-03-02,DELTA,GS,-1200
2023-03-02,DELTA,JPM,400
2023-03-02,DELTA,SHEL.L,8500
2023-03-02,DELTA,XOM,-300
2023-03-02,MACRO,NVDA,700
2023-03-02,MACRO,PG,4000
2023-03-02,MACRO,SAP.DE,6800
2023-03-02,MACRO,XOM,3400
2023-03-03,ALPHA,AAPL,-3700
2023-03-03,ALPHA,KO,-4900
2023-03-03,ALPHA,MSFT,-1400
2023-03-03,ALPHA,NVDA,6300
2023-03-03,ALPHA,SAP.DE,4700
2023-03-03,DELTA,AAPL,-5600
2023-03-03,DELTA,GS,-1200
2023-03-03,DELTA,JPM,400
2023-03-03,DELTA,SHEL.L,8500
2023-03-03,DELTA,XOM,-300
2023-03-03,MACRO,NVDA,700
2023-03-03,MACRO,PG,4000
2023-03-03,MACRO,SAP.DE,6800
2023-03-03,MACRO,XOM,3400
2023-03-06,ALPHA,AAPL,-3700
2023-03-06,ALPHA,KO,-4900
2023-03-06,ALPHA,MSFT,-1400
2023-03-06,ALPHA,NVDA,6300
2023-03-06,ALPHA,SAP.DE,4700
2023-03-06,DELTA,AAPL,-5600
2023-03-06,DELTA,GS,-1200
2023-03-06,DELTA,JPM,400
2023-03-06,DELTA,SHEL.L,8500
2023-03-06,DELTA,XOM,-300
2023-03-06,MACRO,NVDA,700
2023-03-06,MACRO,PG,4000
2023-03-06,MACRO,SAP.DE,6800
2023-03-06,MACRO,XOM,3400
2023-03-07,ALPHA,AAPL,-3700
2023-03-07,ALPHA,KO,-4900
2023-03-07,ALPHA,MSFT,-1400
2023-03-07,ALPHA,NVDA,6300
2023-03-07,ALPHA,SAP.DE,4700
2023-03-07,DELTA,AAPL,-5600
2023-03-07,DELTA,GS,-1200
2023-03-07,DELTA,JPM,400
2023-03-07,DELTA,SHEL.L,8500
2023-03-07,DELTA,XOM,-300
2023-03-07,MACRO,NVDA,700
2023-03-07,MACRO,PG,4000
2023-03-07,MACRO,SAP.DE,6800
2023-03-07,MACRO,XOM,3400
2023-03-08,ALPHA,AAPL,-3700
2023-03-08,ALPHA,KO,-4900
2023-03-08,ALPHA,MSFT,-1400
2023-03-08,ALPHA,NVDA,6300
2023-03-08,ALPHA,SAP.DE,4700
2023-03-08,DELTA,AAPL,-5600
2023-03-08,DELTA,GS,-1200
2023-03-08,DELTA,JPM,400
2023-03-08,DELTA,SHEL.L,8500
2023-03-08,DELTA,XOM,-300
2023-03-08,MACRO,NVDA,700
2023-03-08,MACRO,PG,4000
2023-03-08,MACRO,SAP.DE,6800
2023-03-08,MACRO,XOM,3400
2023-03-09,ALPHA,AAPL,-3700
2023-03-09,ALPHA,KO,-4900
2023-03-09,ALPHA,MSFT,-1400
2023-03-09,ALPHA,NVDA,6300
2023-03-09,ALPHA,SAP.DE,4700
2023-03-09,DELTA,AAPL,-5600
2023-03-09,DELTA,GS,-1200
2023-03-09,DELTA,JPM,400
2023-03-09,DELTA,SHEL.L,8500
2023-03-09,DELTA,XOM,-300
2023-03-09,MACRO,NVDA,700
2023-03-09,MACRO,PG,4000
2023-03-09,MACRO,SAP.DE,6800
2023-03-09,MACRO,XOM,3400
2023-03-10,ALPHA,AAPL,-3700
2023-03-10,ALPHA,KO,-4900
2023-03-10,ALPHA,MSFT,-1400
2023-03-10,ALPHA,NVDA,6300
2023-03-10,ALPHA,SAP.DE,4700
2023-03-10,DELTA,AAPL,-5600
2023-03-10,DELTA,GS,-1200
2023-03-10,DELTA,JPM,400
2023-03-10,DELTA,SHEL.L,8500
2023-03-10,DELTA,XOM,-300
2023-03-10,MACRO,NVDA,700
2023-03-10,MACRO,PG,4000
2023-03-10,MACRO,SAP.DE,6800
2023-03-10,MACRO,XOM,3400
2023-03-13,ALPHA,AAPL,-3700
2023-03-13,ALPHA,KO,-4900
2023-03-13,ALPHA,MSFT,-1400
2023-03-13,ALPHA,NVDA,6300
2023-03-13,ALPHA,SAP.DE,4700
2023-03-13,DELTA,AAPL,-5600
2023-03-13,DELTA,GS,-1200
2023-03-13,DELTA,JPM,400
2023-03-13,DELTA,SHEL.L,8500
2023-03-13,DELTA,XOM,-300
2023-03-13,MACRO,NVDA,700
2023-03-13,MACRO,PG,4000
2023-03-13,MACRO,SAP.DE,6800
2023-03-13,MACRO,XOM,3400
2023-03-14,ALPHA,AAPL,-3700
2023-03-14,ALPHA,KO,-4900
2023-03-14,ALPHA,MSFT,-1400
2023-03-14,ALPHA,NVDA,6300
2023-03-14,ALPHA,SAP.DE,4700
2023-03-14,DELTA,AAPL,-5600
2023-03-14,DELTA,GS,-1200
2023-03-14,DELTA,JPM,400
2023-03-14,DELTA,SHEL.L,8500
2023-03-14,DELTA,XOM,-300
2023-03-14,MACRO,NVDA,700
2023-03-14,MACRO,PG,4000
2023-03-14,MACRO,SAP.DE,6800
2023-03-14,MACRO,XOM,3400
2023-03-15,ALPHA,AAPL,-3700
