date,ccy,rate
2023-10-17,EUR,1.070178
2023-10-17,GBP,1.257261
2023-10-18,EUR,1.069686
2023-10-18,GBP,1.257673
2023-10-19,EUR,1.06436
2023-10-19,GBP,1.256109
2023-10-20,EUR,1.062519
2023-10-20,GBP,1.254992
2023-10-23,EUR,1.064916
2023-10-23,GBP,1.257026
2023-10-24,EUR,1.059372
2023-10-24,GBP,1.253748
2023-10-25,EUR,1.063103
2023-10-25,GBP,1.252828
2023-10-26,EUR,1.060244
2023-10-26,GBP,1.251183
2023-10-27,EUR,1.057277
2023-10-27,GBP,1.2532
2023-10-30,EUR,1.06262
2023-10-30,GBP,1.243144
2023-10-31,EUR,1.063828
2023-10-31,GBP,1.237236
2023-11-01,EUR,1.07016
2023-11-01,GBP,1.237057
2023-11-02,EUR,1.065861
2023-11-02,GBP,1.232849
2023-11-03,EUR,1.065997
2023-11-03,GBP,1.231003
2023-11-06,EUR,1.072381
2023-11-06,GBP,1.226599
2023-11-07,EUR,1.078307
2023-11-07,GBP,1.221461
2023-11-08,EUR,1.080687
2023-11-08,GBP,1.22315
2023-11-09,EUR,1.083598
2023-11-09,GBP,1.223407
2023-11-10,EUR,1.083884
2023-11-10,GBP,1.220824
2023-11-13,EUR,1.074454
2023-11-13,GBP,1.223531
2023-11-14,EUR,1.078254
2023-11-14,GBP,1.222197
2023-11-15,EUR,1.08142
2023-11-15,GBP,1.218237
2023-11-16,EUR,1.082071
2023-11-16,GBP,1.217208
2023-11-17,EUR,1.082963
2023-11-17,GBP,1.216123
2023-11-20,EUR,1.083172
2023-11-20,GBP,1.215202
2023-11-21,EUR,1.083101
2023-11-21,GBP,1.224561
2023-11-22,EUR,1.086213
2023-11-22,GBP,1.223169
2023-11-24,EUR,1.083307
2023-11-24,GBP,1.220703
2023-11-27,EUR,1.085128
2023-11-27,GBP,1.209582
2023-11-28,EUR,1.081664
2023-11-28,GBP,1.215938
2023-11-29,EUR,1.078494
2023-11-29,GBP,1.217295
2023-11-30,EUR,1.085513
2023-11-30,GBP,1.215008
2023-12-01,EUR,1.085226
2023-12-01,GBP,1.217939
2023-12-04,EUR,1.082224
2023-12-04,GBP,1.21918
2023-12-05,EUR,1.084741
2023-12-05,GBP,1.218761
2023-12-06,EUR,1.085417
2023-12-06,GBP,1.219641
2023-12-07,EUR,1.084198
2023-12-07,GBP,1.226752
2023-12-08,EUR,1.082769
2023-12-08,GBP,1.217169
2023-12-11,EUR,1.07849
2023-12-11,GBP,1.217716
2023-12-12,EUR,1.075861
2023-12-12,GBP,1.224199
2023-12-13,EUR,1.076159
2023-12-13,GBP,1.232663
2023-12-14,EUR,1.080511
2023-12-14,GBP,1.232863
2023-12-15,EUR,1.08187
2023-12-15,GBP,1.236989
2023-12-18,EUR,1.081263
2023-12-18,GBP,1.23021
2023-12-19,EUR,1.081002
2023-12-19,GBP,1.231014
2023-12-20,EUR,1.074505
2023-12-20,GBP,1.229753
2023-12-21,EUR,1.073044
2023-12-21,GBP,1.224542
2023-12-22,EUR,1.068502
2023-12-22,GBP,1.221671
2023-12-27,EUR,1.071586
2023-12-27,GBP,1.219198
2023-12-28,EUR,1.078551
2023-12-28,GBP,1.214437
2023-12-29,EUR,1.072052
2023-12-29,GBP,1.217156
2024-01-03,EUR,1.07369
2024-01-03,GBP,1.208595
2024-01-04,EUR,1.071722
2024-01-04,GBP,1.206781
2024-01-05,EUR,1.06953
2024-01-05,GBP,1.201515
2024-01-08,EUR,1.064258
2024-01-08,GBP,1.205568
2024-01-09,EUR,1.06457
2024-01-09,GBP,1.204378
2024-01-10,EUR,1.063805
2024-01-10,GBP,1.200473
2024-01-11,EUR,1.066727
2024-01-11,GBP,1.19533
2024-01-12,EUR,1.067962
2024-01-12,GBP,1.196892
2024-01-16,EUR,1.074036
2024-01-16,GBP,1.191712
2024-01-17,EUR,1.072292
2024-01-17,GBP,1.197458
2024-01-18,EUR,1.074463
2024-01-18,GBP,1.195613
2024-01-19,EUR,1.066347
2024-01-19,GBP,1.199758
2024-01-22,EUR,1.068867
2024-01-22,GBP,1.198893
2024-01-23,EUR,1.064559
2024-01-23,GBP,1.19626
2024-01-24,EUR,1.069092
2024-01-24,GBP,1.200629
2024-01-25,EUR,1.069849
2024-01-25,GBP,1.205826
2024-01-26,EUR,1.068557
2024-01-26,GBP,1.209164
2024-01-29,EUR,1.071295
2024-01-29,GBP,1.209992
2024-01-30,EUR,1.073396
2024-01-30,GBP,1.213152
2024-01-31,EUR,1.069307
2024-01-31,GBP,1.210411
2024-02-01,EUR,1.070346
2024-02-01,GBP,1.212518
2024-02-02,EUR,1.068396
2024-02-02,GBP,1.208451
2024-02-05,EUR,1.065336
2024-02-05,GBP,1.203718
2024-02-06,EUR,1.063881
2024-02-06,GBP,1.19848
2024-02-07,EUR,1.066915
2024-02-07,GBP,1.198479
2024-02-08,EUR,1.062492
2024-02-08,GBP,1.194752
2024-02-09,EUR,1.064009
2024-02-09,GBP,1.200287
2024-02-12,EUR,1.064077
2024-02-12,GBP,1.203153
2024-02-13,EUR,1.059372
2024-02-13,GBP,1.203172
2024-02-14,EUR,1.061497
2024-02-14,GBP,1.208281
2024-02-15,EUR,1.062222
2024-02-15,GBP,1.211036
2024-02-16,EUR,1.060432
2024-02-16,GBP,1.208091
2024-02-20,EUR,1.063495
2024-02-20,GBP,1.216612
2024-02-21,EUR,1.065672
2024-02-21,GBP,1.211889
2024-02-22,EUR,1.059079
2024-02-22,GBP,1.204004
2024-02-23,EUR,1.053677
2024-02-23,GBP,1.203376
2024-02-26,EUR,1.059105
2024-02-26,GBP,1.206923
2024-02-27,EUR,1.062639
2024-02-27,GBP,1.209765
2024-02-28,EUR,1.056446
2024-02-28,GBP,1.216462
2024-02-29,EUR,1.058246
2024-02-29,GBP,1.214027
2024-03-01,EUR,1.064297
2024-03-01,GBP,1.210497
2024-03-04,EUR,1.067413
2024-03-04,GBP,1.209616
2024-03-05,EUR,1.067636
2024-03-05,GBP,1.206125
2024-03-06,EUR,1.064304
2024-03-06,GBP,1.20211
2024-03-07,EUR,1.070287
2024-03-07,GBP,1.201513
2024-03-08,EUR,1.070257
2024-03-08,GBP,1.204815
2024-03-11,EUR,1.065188
2024-03-11,GBP,1.209649
2024-03-12,EUR,1.062161
2024-03-12,GBP,1.212181
2024-03-13,EUR,1.062268
2024-03-13,GBP,1.217668
2024-03-14,EUR,1.065896
2024-03-14,GBP,1.215287
2024-03-15,EUR,1.067125
2024-03-15,GBP,1.222044
2024-03-18,EUR,1.06235
2024-03-18,GBP,1.221086
2024-03-19,EUR,1.064758
2024-03-19,GBP,1.220023
2024-03-20,EUR,1.068771
2024-03-20,GBP,1.221298
2024-03-21,EUR,1.070144
2024-03-21,GBP,1.222873
2024-03-22,EUR,1.06579
2024-03-22,GBP,1.226662
2024-03-25,EUR,1.064835
2024-03-25,GBP,1.231357
2024-03-26,EUR,1.060026
2024-03-26,GBP,1.230154
2024-03-27,EUR,1.056573
2024-03-27,GBP,1.222783
2024-03-28,EUR,1.060798
2024-03-28,GBP,1.224402
2024-04-02,EUR,1.062964
2024-04-02,GBP,1.21947
2024-04-03,EUR,1.067843
2024-04-03,GBP,1.2145
2024-04-04,EUR,1.061859
2024-04-04,GBP,1.221767
2024-04-05,EUR,1.057861
2024-04-05,GBP,1.217687
2024-04-08,EUR,1.055379
2024-04-08,GBP,1.22021
2024-04-09,EUR,1.058113
2024-04-09,GBP,1.230619
2024-04-10,EUR,1.058344
2024-04-10,GBP,1.22844
2024-04-11,EUR,1.067006
2024-04-11,GBP,1.236511
2024-04-12,EUR,1.06212
2024-04-12,GBP,1.236549
2024-04-15,EUR,1.059248
2024-04-15,GBP,1.237133
2024-04-16,EUR,1.065754
2024-04-16,GBP,1.243704
2024-04-17,EUR,1.066152
2024-04-17,GBP,1.246469
2024-04-19,EUR,1.099991
2024-04-19,GBP,1.219805
2024-04-22,EUR,1.103403
2024-04-22,GBP,1.210311
2024-04-23,EUR,1.104955
2024-04-23,GBP,1.209793
2024-04-24,EUR,1.106977
2024-04-24,GBP,1.208381
2024-04-25,EUR,1.111614
2024-04-25,GBP,1.210364
2024-04-26,EUR,1.106859
2024-04-26,GBP,1.211618
2024-04-29,EUR,1.11045
2024-04-29,GBP,1.212477
2024-04-30,EUR,1.114883
2024-04-30,GBP,1.215559
2024-05-02,EUR,1.112733
2024-05-02,GBP,1.210291
2024-05-03,EUR,1.110645
2024-05-03,GBP,1.212993
2024-05-06,EUR,1.11194
2024-05-06,GBP,1.209136
2024-05-07,EUR,1.118106
2024-05-07,GBP,1.212234
2024-05-08,EUR,1.113668
2024-05-08,GBP,1.20618
2024-05-09,EUR,1.110162
2024-05-09,GBP,1.208723
2024-05-10,EUR,1.112928
2024-05-10,GBP,1.216293
2024-05-13,EUR,1.108941
2024-05-13,GBP,1.218389
2024-05-14,EUR,1.11638
2024-05-14,GBP,1.214223
2024-05-15,EUR,1.117465
2024-05-15,GBP,1.218171
2024-05-16,EUR,1.115261
2024-05-16,GBP,1.22136
2024-05-17,EUR,1.12725
2024-05-17,GBP,1.217775
2024-05-20,EUR,1.122763
2024-05-20,GBP,1.215953
2024-05-21,EUR,1.115008
2024-05-21,GBP,1.217336
2024-05-22,EUR,1.117113
2024-05-22,GBP,1.21834
2024-05-23,EUR,1.117905
2024-05-23,GBP,1.215148
2024-05-24,EUR,1.121118
2024-05-24,GBP,1.216619
2024-05-28,EUR,1.119728
2024-05-28,GBP,1.227466
2024-05-29,EUR,1.117167
2024-05-29,GBP,1.227734
2024-05-30,EUR,1.117954
2024-05-30,GBP,1.237469
2024-05-31,EUR,1.114297
2024-05-31,GBP,1.234345
2024-06-03,EUR,1.115968
2024-06-03,GBP,1.235338
2024-06-04,EUR,1.108174
2024-06-04,GBP,1.23215
2024-06-05,EUR,1.10818
2024-06-05,GBP,1.232045
2024-06-06,EUR,1.108103
2024-06-06,GBP,1.232338
2024-06-07,EUR,1.105862
2024-06-07,GBP,1.22896
2024-06-10,EUR,1.105552
2024-06-10,GBP,1.229069
2024-06-11,EUR,1.111779
2024-06-11,GBP,1.229541
2024-06-12,EUR,1.106794
2024-06-12,GBP,1.232814
2024-06-13,EUR,1.103734
2024-06-13,GBP,1.230553
2024-06-14,EUR,1.095887
2024-06-14,GBP,1.224309
2024-06-17,EUR,1.096928
2024-06-17,GBP,1.228182
2024-06-18,EUR,1.100592
2024-06-18,GBP,1.227306
2024-06-20,EUR,1.102483
2024-06-20,GBP,1.227583
2024-06-21,EUR,1.096809
2024-06-21,GBP,1.222839
2024-06-24,EUR,1.098773
2024-06-24,GBP,1.224172
2024-06-25,EUR,1.103161
2024-06-25,GBP,1.225792
2024-06-26,EUR,1.10812
2024-06-26,GBP,1.232017
2024-06-27,EUR,1.106537
2024-06-27,GBP,1.231765
2024-06-28,EUR,1.104721
2024-06-28,GBP,1.232987
2024-07-01,EUR,1.099578
2024-07-01,GBP,1.240486
2024-07-02,EUR,1.106244
2024-07-02,GBP,1.242486
2024-07-03,EUR,1.112403
2024-07-03,GBP,1.23684
2024-07-05,EUR,1.112511
2024-07-05,GBP,1.240478
2024-07-08,EUR,1.113475
2024-07-08,GBP,1.247245
2024-07-09,EUR,1.118985
2024-07-09,GBP,1.244344
2024-07-10,EUR,1.112145
2024-07-10,GBP,1.247931
2024-07-11,EUR,1.10992
2024-07-11,GBP,1.242608
2024-07-12,EUR,1.113017
2024-07-12,GBP,1.245342
2024-07-15,EUR,1.109314
2024-07-15,GBP,1.247592
2024-07-16,EUR,1.107203
2024-07-16,GBP,1.252378
2024-07-17,EUR,1.103719
2024-07-17,GBP,1.252054
2024-07-18,EUR,1.098699
2024-07-18,GBP,1.246269
2024-07-19,EUR,1.100763
2024-07-19,GBP,1.242372
2024-07-22,EUR,1.095227
2024-07-22,GBP,1.23243
2024-07-23,EUR,1.092356
2024-07-23,GBP,1.231133
2024-07-24,EUR,1.089904
2024-07-24,GBP,1.225879
2024-07-25,EUR,1.090427
2024-07-25,GBP,1.228383
2024-07-26,EUR,1.094008
2024-07-26,GBP,1.22675
2024-07-29,EUR,1.097087
2024-07-29,GBP,1.225868
2024-07-30,EUR,1.10039
2024-07-30,GBP,1.224207
2024-07-31,EUR,1.101581
2024-07-31,GBP,1.228533
2024-08-01,EUR,1.095578
2024-08-01,GBP,1.22558
2024-08-02,EUR,1.101431
2024-08-02,GBP,1.225507
2024-08-05,EUR,1.102111
2024-08-05,GBP,1.225513
2024-08-06,EUR,1.107582
2024-08-06,GBP,1.219778
2024-08-07,EUR,1.107188
2024-08-07,GBP,1.216883
2024-08-08,EUR,1.110328
2024-08-08,GBP,1.215932
2024-08-09,EUR,1.107764
2024-08-09,GBP,1.220046
2024-08-12,EUR,1.106123
2024-08-12,GBP,1.218205
2024-08-13,EUR,1.110589
2024-08-13,GBP,1.227605
2024-08-14,EUR,1.114186
2024-08-14,GBP,1.226114
2024-08-16,EUR,1.108447
2024-08-16,GBP,1.221821
2024-08-19,EUR,1.110722
2024-08-19,GBP,1.227079
2024-08-20,EUR,1.10537
2024-08-20,GBP,1.231357
2024-08-21,EUR,1.108212
2024-08-21,GBP,1.23577
2024-08-22,EUR,1.112133
2024-08-22,GBP,1.234472
2024-08-23,EUR,1.109329
2024-08-23,GBP,1.233604
2024-08-26,EUR,1.099573
2024-08-26,GBP,1.236345
2024-08-27,EUR,1.098846
2024-08-27,GBP,1.239194
2024-08-28,EUR,1.106644
2024-08-28,GBP,1.234907
2024-08-29,EUR,1.107981
2024-08-29,GBP,1.231578
2024-08-30,EUR,1.100278
2024-08-30,GBP,1.225328
2024-09-03,EUR,1.100189
2024-09-03,GBP,1.220077
2024-09-04,EUR,1.100801
2024-09-04,GBP,1.21635
2024-09-05,EUR,1.101709
2024-09-05,GBP,1.208934
2024-09-06,EUR,1.102088
2024-09-06,GBP,1.201828
2024-09-09,EUR,1.108601
2024-09-09,GBP,1.209015
2024-09-10,EUR,1.111909
2024-09-10,GBP,1.205328
2024-09-11,EUR,1.115894
2024-09-11,GBP,1.207554
2024-09-12,EUR,1.113192
2024-09-12,GBP,1.207697
2024-09-13,EUR,1.11419
2024-09-13,GBP,1.20978
2024-09-16,EUR,1.116913
2024-09-16,GBP,1.210722
2024-09-17,EUR,1.12384
2024-09-17,GBP,1.209642
2024-09-18,EUR,1.128398
2024-09-18,GBP,1.206253
2024-09-19,EUR,1.132393
2024-09-19,GBP,1.200556
2024-09-20,EUR,1.134908
2024-09-20,GBP,1.194757
2024-09-23,EUR,1.135571
2024-09-23,GBP,1.185591
2024-09-24,EUR,1.137851
2024-09-24,GBP,1.19055
2024-09-25,EUR,1.132442
2024-09-25,GBP,1.189697
2024-09-26,EUR,1.137376
2024-09-26,GBP,1.194031
2024-09-27,EUR,1.138287
2024-09-27,GBP,1.191681
2024-09-30,EUR,1.138945
2024-09-30,GBP,1.190716
2024-10-01,EUR,1.141619
2024-10-01,GBP,1.196726
2024-10-02,EUR,1.144443
2024-10-02,GBP,1.194231
